Handle,Title,Body (HTML),Vendor,Product Category,Type,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Status
brown-satchel-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/brown-satchel-tote-bag-bottom.jpg?v=1755158108,
brown-satchel-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/brown-satchel-tote-bag-inside.jpg?v=1755158109,
burgundy-tote-bag,Burgundy tote bag,"<ul> <li class='measurements'>
<b>Width:</b> 16 inches</li> <li class='measurements'>
<b>Height:</b> 11 inches</li> <li class='measurements'>
<b>Depth:</b> 5.5 inches</li> </ul> <ul> <li class='additional-details'>One main compartment with magnetic closure and one pocket with zipper inside.</li> </ul> <ul> <li class='material'>
<b>Material: </b>Faux leather.</li> </ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,DCT-02,265.68,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/burgundy-tote-bag-front.jpg?v=1754888656,active
burgundy-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/burgundy-tote-bag-closeup.jpg?v=1754888656,
burgundy-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/burgundy-tote-bag-bottom.jpg?v=1754888656,
burgundy-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/burgundy-tote-bag-inside.jpg?v=1754888656,
peach-elongated-chain-handle-purse,Peach elongated chain handle purse,"<ul>
        <li class='measurements'>
                <b>Width:</b> 11.5 inches
        </li>
        <li class='measurements'>
                <b>Height:</b> 6 inches
        </li>
        <li class='measurements'>
                <b>Depth:</b> 2.5 inches
        </li>
</ul>
<ul>
<li class='additional-details'>One main zipper compartment.</li>
</ul>
<ul>
<li class='additional-details'>Shoulder strap.</li>
<br>
<li>
<strong>Material</strong>: Faux leather.</li>
</ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,ECP-06,265.86,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/peach-elongated-chain-handle-purse-quater.jpg?v=1685686633,active
peach-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/peach-elongated-chain-handle-purse-model-closeup.jpg?v=1686121709,
peach-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/peach-elongated-chain-handle-purse-main.jpg?v=1688731682,
peach-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/peach-elongated-chain-handle-purse-closeup.jpg?v=1688731682,
